Year,Program,Type,State,Total_institutions,New_institutions,Closed_institutions,Intake,Girls_enrollment,Boys_enrolment,Faculties,Passed,Placement,Enrollment,Placement_Rate_Percentage,Pass_ Rate_Percentage,Student to Faculty Ratio,Girls_Enrollment_Percentage,Boys_Enrollment_Percentage
2021-01-01,Pharmacy,Private,All,929.0,13.0,1.0,76662.0,18151.0,25534.0,30076.0,37488.0,10583.0,43685.0,24.225706764335584,85.8143527526611,1.4524870328501132,41.54973102895731,58.450268971042696
2013-01-01,Pharmacy,Government,All,47.0,0.0,0.0,2793.0,1152.0,1138.0,494.0,1911.0,584.0,2290.0,25.502183406113538,83.44978165938865,4.635627530364372,50.3056768558952,49.6943231441048
2014-01-01,Pharmacy,Government,All,50.0,1.0,0.0,2967.0,1315.0,1088.0,646.0,1962.0,660.0,2403.0,27.465667915106117,81.64794007490637,3.719814241486068,54.72326258843113,45.276737411568874
2015-01-01,Pharmacy,Government,All,54.0,1.0,0.0,3177.0,1421.0,1157.0,649.0,2069.0,626.0,2578.0,24.282389449185416,80.25601241272304,3.9722650231124805,55.120248254460826,44.879751745539174
2016-01-01,Pharmacy,Government,All,74.0,2.0,0.0,4245.0,1796.0,1685.0,677.0,2811.0,991.0,3481.0,28.468830795748346,80.75265728239012,5.141802067946824,51.59436943407067,48.40563056592933
2017-01-01,Pharmacy,Government,All,76.0,1.0,0.0,4383.0,1776.0,1755.0,677.0,3055.0,841.0,3531.0,23.817615406400453,86.51939960351174,5.215657311669129,50.29736618521665,49.70263381478335
2018-01-01,Pharmacy,Government,All,77.0,1.0,0.0,4413.0,1892.0,1987.0,773.0,3356.0,1145.0,3879.0,29.517916988914667,86.51714359370972,5.018111254851229,48.77545759216293,51.22454240783707
2019-01-01,Pharmacy,Government,All,80.0,2.0,0.0,4561.0,2007.0,2001.0,837.0,3144.0,1082.0,4008.0,26.996007984031934,78.44311377245509,4.788530465949821,50.0748502994012,49.9251497005988
2020-01-01,Pharmacy,Government,All,86.0,7.0,0.0,4878.0,2332.0,2321.0,1219.0,2485.0,1289.0,4653.0,27.702557489791534,53.40640447023426,3.8170631665299424,50.11820330969267,49.881796690307326
2021-01-01,Pharmacy,Government,All,84.0,0.0,0.0,4989.0,2101.0,2119.0,1277.0,3212.0,726.0,4220.0,17.203791469194314,76.11374407582939,3.3046202036021928,49.78672985781991,50.2132701421801
